Grupo,Subgrupo,Produto,Unidade,Regiao,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,RJ,2021,0.0,0.0,9575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,PR,2021,0.0,0.0,12350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,MG,2021,3000.0,3000.0,5750.0,2900.0,3000.0,3300.0,6000.0,25000.0,25700.0,25000.0,9200.0,25000.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Centro-Oeste,GO,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9200.0,4000.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,RS,2021,0.0,0.0,12250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9200.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,SP,2022,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,RS,2022,0.0,0.0,16100.0,0.0,0.0,0.0,0.0,0.0,17200.0,0.0,13000.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,RJ,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14016.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,MG,2022,25000.0,25000.0,15000.0,15500.0,15500.0,15500.0,23000.0,23000.0,16750.0,20000.0,15000.0,12500.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Centro-Oeste,GO,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,SC,2022,0.0,0.0,11300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11625.0,0.0
Agrotóxico,Acaricida,"TALENTO, 500 G/KG, HEXYTHIAZOX, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, WP",KG,Centro-Oeste,GO,2023,0.0,0.0,2.01,2.01,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0
Agrotóxico,Acaricida,VERTIMEC,L,Nordeste,BA,2023,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Centro-Oeste,DF,2023,15570.0,15500.0,14000.0,14000.0,14000.0,14000.0,15300.0,15300.0,11000.0,11000.0,4000.0,4000.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,SC,2023,0.0,0.0,12950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sul,RS,2023,11800.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,15050.0,0.0,11500.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,RJ,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16284.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Sudeste,MG,2023,12500.0,12700.0,12500.0,12500.0,12500.0,9500.0,10000.0,10900.0,12000.0,12000.0,11000.0,11000.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Centro-Oeste,GO,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0
