Produto,Unidade,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Grupo,Subgrupo
"VERTIMEC, 18 CE",L,RJ,2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","124,90","0,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,MG,2024,"121,00","0,00","122,00","0,00","120,00","0,00","85,00","0,00","90,00","0,00","120,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,GO,2024,"0,00","0,00","42,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,DF,2024,"40,00","40,00","40,00","0,00","20,00","0,00","21,00","0,00","23,00","22,00","130,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,SC,2024,"0,00","0,00","113,95","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
ADESIL,L,BA,2020,"0,00","0,00","17,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,PR,2020,"18,63","18,63","18,17","18,25","15,34","18,34","18,38","18,54","18,54","18,56","21,78","20,00",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,PR,2020,"16,84","16,84","16,84","17,00","17,10","17,10","17,50","18,00","18,00","18,10","23,56","23,56",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,MS,2020,"14,60","15,00","14,95","15,00","15,00","15,00","14,59","14,88","14,76","15,18","15,30","10,00",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,MT,2020,"20,70","22,40","22,40","22,40","22,40","24,50","24,50","24,50","24,50","24,50","24,50","24,50",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,SC,2020,"0,00","0,00","22,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Espalhante/Adjuvante
AGRAL,L,SP,2020,"18,61","18,40","18,40","17,36","17,36","16,20","16,20","17,36","17,66","18,00","20,65","17,36",Agrotóxico,Espalhante/Adjuvante
ASSIST,L,RO,2020,"0,00","0,00","30,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Espalhante/Adjuvante
ASSIST,L,PR,2020,"18,41","18,41","18,61","18,67","19,81","20,25","19,73","19,75","19,75","19,16","20,79","21,08",Agrotóxico,Espalhante/Adjuvante
ASSIST,L,MT,2020,"15,82","16,98","16,98","16,98","16,98","18,66","18,66","18,66","18,72","17,33","17,33","17,33",Agrotóxico,Espalhante/Adjuvante
ASSIST,L,MS,2020,"14,70","14,70","14,70","14,70","15,50","15,50","15,50","15,50","15,50","15,50","17,80","17,80",Agrotóxico,Espalhante/Adjuvante
